"_id","Civilité","Découverte_Akigora","Mailing","SMS","Date_de_Création","Date_Mise_à_Jour","Acceptation_CGU","Validation_Email"
"63ad6c55783ece5a086699a4","male","parrainage","FALSE","TRUE","29/11/2022","29/12/2022","VRAI","TRUE"
"63ad669b783ece5a08669998","male","recherche web","FALSE","FALSE","29/11/2022","30/12/2022","VRAI","TRUE"
"63ad5581783ece5a08669989","female","bouche à oreille","TRUE","TRUE","29/11/2022","25/10/2023","VRAI","TRUE"
"63ab0a08783ece5a086696a5","female","autre","FALSE","TRUE","27/11/2022","27/12/2022","VRAI","TRUE"
"63ab049e783ece5a0866969e","male","autre","FALSE","FALSE","27/11/2022","26/11/2023","VRAI","TRUE"
"63a9da80783ece5a08669522","female","autre","FALSE","FALSE","26/11/2022","25/10/2023","VRAI","TRUE"
"63a61df0783ece5a086690ef","female","bouche à oreille","FALSE","FALSE","23/11/2022","31/03/2023","VRAI","TRUE"
"63a4806a783ece5a08668fc6","female","autre","FALSE","TRUE","22/11/2022","22/12/2022","VRAI","TRUE"
"63a42bca783ece5a08668f07","male","association partenaire","FALSE","FALSE","22/11/2022","16/03/2023","VRAI","TRUE"
"63a32fb5783ece5a08668d74","male","bouche à oreille","FALSE","TRUE","21/11/2022","23/12/2022","VRAI","TRUE"
"63a327e9783ece5a08668d69","male","bouche à oreille","FALSE","FALSE","21/11/2022","23/12/2022","VRAI","TRUE"
"63a2f541783ece5a08668cee","male","autre","FALSE","TRUE","21/11/2022","30/11/2023","VRAI","TRUE"
"63a2ed73783ece5a08668ce6","male","autre","FALSE","FALSE","21/11/2022","27/08/2023","VRAI","TRUE"
"63a2daa4783ece5a08668cd5","male","autre","FALSE","TRUE","21/11/2022","21/12/2022","VRAI","TRUE"
"63a2703f783ece5a08668c2a","male","autre","FALSE","FALSE","21/11/2022","25/11/2023","VRAI","TRUE"
"63a1c2fd783ece5a08668b74","male","association partenaire","TRUE","TRUE","20/11/2022","11/01/2023","VRAI","TRUE"
"63a176bd783ece5a08668b1c","male","parrainage","TRUE","FALSE","20/11/2022","28/11/2023","VRAI","TRUE"
"639c44ea67f15f7b71c8746b","female","autre","FALSE","FALSE","16/11/2022","23/10/2023","VRAI","TRUE"
"639b0df167f15f7b71c8729e","male","recherche web","FALSE","FALSE","15/11/2022","15/12/2022","VRAI","TRUE"
"639afae867f15f7b71c87271","male","autre","FALSE","TRUE","15/11/2022","15/12/2022","VRAI","TRUE"
"639ae55967f15f7b71c8724f","female","bouche à oreille","TRUE","TRUE","15/11/2022","14/09/2023","VRAI","TRUE"
"639a0f0967f15f7b71c87184","female","association partenaire","TRUE","TRUE","14/11/2022","26/02/2023","VRAI","TRUE"
"639a003067f15f7b71c87180","female","entreprise partenaire","FALSE","FALSE","14/11/2022","14/12/2022","VRAI","TRUE"
"6399e00767f15f7b71c87156","male","association partenaire","FALSE","FALSE","14/11/2022","14/12/2022","VRAI","TRUE"
"6399d27067f15f7b71c8712e","male","bouche à oreille","FALSE","FALSE","14/11/2022","14/12/2022","VRAI","TRUE"
"63999ee93ef4140b25984b00","male","autre","FALSE","TRUE","14/11/2022","14/12/2022","VRAI","TRUE"
"63995cad3ef4140b25984ac2","male","autre","FALSE","FALSE","14/11/2022","14/12/2022","VRAI","TRUE"
"63989c073ef4140b25984a27","female","bouche à oreille","TRUE","FALSE","13/11/2022","06/01/2023","VRAI","TRUE"
"639895353ef4140b25984a1e","female","bouche à oreille","FALSE","FALSE","13/11/2022","13/12/2022","VRAI","TRUE"
"639857ca3ef4140b259848f2","female","bouche à oreille","FALSE","FALSE","13/11/2022","20/12/2022","VRAI","TRUE"
"63974a5dc2ac7675f05052d8","male","autre","TRUE","FALSE","12/11/2022","24/01/2023","VRAI","TRUE"
"63970bd7c2ac7675f050523c","female","autre","FALSE","FALSE","12/11/2022","25/11/2023","VRAI","TRUE"
"6396f0fec2ac7675f05051df","male","autre","FALSE","FALSE","12/11/2022","12/12/2022","VRAI","TRUE"
"639346a8c2ac7675f0504ca0","male","autre","FALSE","FALSE","09/11/2022","09/12/2022","VRAI","TRUE"
"63934121c2ac7675f0504c8b","female","autre","TRUE","FALSE","09/11/2022","10/03/2023","VRAI","TRUE"
"6393126be2c70e05e930803b","male","recherche web","TRUE","TRUE","09/11/2022","30/12/2022","VRAI","TRUE"
"63930ec2e2c70e05e9308033","female","entreprise partenaire","FALSE","FALSE","09/11/2022","15/02/2023","VRAI","TRUE"
"63922373e2c70e05e9307dcb","female","autre","FALSE","FALSE","08/11/2022","29/11/2023","VRAI","TRUE"
"6391b122e2c70e05e9307ce0","male","autre","FALSE","FALSE","08/11/2022","08/12/2022","VRAI","TRUE"
"63909b2066eff2145f4f2ef4","female","recherche web","TRUE","FALSE","07/11/2022","07/12/2022","VRAI","TRUE"
"63906ca366eff2145f4f2e83","male","bouche à oreille","FALSE","FALSE","07/11/2022","19/09/2023","VRAI","TRUE"
"638f506066eff2145f4f2cbd","female","parrainage","FALSE","FALSE","06/11/2022","27/11/2023","VRAI","TRUE"
"638f3fce66eff2145f4f2c7b","female","bouche à oreille","FALSE","FALSE","06/11/2022","27/11/2023","VRAI","TRUE"
"638f0ea266eff2145f4f2bd3","female","bouche à oreille","FALSE","TRUE","06/11/2022","06/12/2022","VRAI","TRUE"
"638f066b66eff2145f4f2bb7","female","autre","FALSE","FALSE","06/11/2022","14/12/2022","VRAI","TRUE"
"638efedf66eff2145f4f2b80","male","autre","FALSE","FALSE","06/11/2022","29/12/2022","VRAI","TRUE"
"638e46c966eff2145f4f2a89","female","bouche à oreille","TRUE","FALSE","05/11/2022","05/12/2022","VRAI","TRUE"
"638e419266eff2145f4f2a82","female","bouche à oreille","FALSE","FALSE","05/11/2022","27/09/2023","VRAI","TRUE"
"638d04a10f14570b3a246ea8","female","bouche à oreille","FALSE","FALSE","04/11/2022","04/12/2022","VRAI","TRUE"
"6389fe3b0f14570b3a246b55","male","bouche à oreille","FALSE","FALSE","02/11/2022","02/12/2022","VRAI","TRUE"
