_id,intitule,localisation,date_debut,date_fin,replacement_or_creation,presentiel_distanciel,isClosed,daysPlanned,forfait_remuneration
64f5c5f05ed8b045bf48cef3,Les COP Climats,Lyon,04/04/2023,21/05/2023,Création de poste,,FALSE,,hourly
64f0971888afda3cddd6f748,Jury Concepteur Développeur d’Applications (CDA),Bordeaux,04/09/2023,15/09/2023,Création,,FALSE,,hourly
64f0897e88afda3cddd6f725,Architecture Hardware,Bordeaux,01/09/2023,31/01/2024,créa,,FALSE,,hourly
64f0890788afda3cddd6f723,PHP procédural et POO,Bordeaux,26/06/2023,26/06/2023,cré,,FALSE,,
64f088c188afda3cddd6f720,Serveur WEB,Bordeaux,26/06/2023,26/06/2023,Créa,,FALSE,,hourly
64f0884188afda3cddd6f719,Social Engineering,Bordeaux,02/01/2024,30/04/2024,Créa,,FALSE,,hourly
64f073df88afda3cddd6f6df,Versionning et Repository,Bordeaux,26/06/2023,26/06/2023,Créa,,FALSE,,
64f073a988afda3cddd6f6de,Bases de données - Conception/Administration,Bordeaux,26/06/2023,26/06/2023,Créa,,FALSE,,hourly
64f0731188afda3cddd6f6dd,Projet tuteuré,Bordeaux,01/09/2023,31/01/2024,Créa,,TRUE,,hourly
64f067b288afda3cddd6f6be,FINANCIAL MANAGEMENT,Lille,08/12/2023,24/05/2024,RECONDUCTION,,FALSE,,hourly
64f0679788afda3cddd6f6bc,Web marketing e-commerce,Lille,30/05/2024,14/06/2024,RECONDUCTION,,FALSE,,hourly
64f0544988afda3cddd6f62a,Jury Soutenance WIS 3,Bordeaux,13/09/2023,14/09/2023,Création,,FALSE,,hourly
64f0542f88afda3cddd6f627,Jury Soutenance WIS 3,Bordeaux,13/09/2023,14/09/2023,Création,,FALSE,,hourly
64ef658688afda3cddd6f49d,CAHT : Fondamentaux du secteur de la tech : Réseaux Télécom,Bordeaux,01/12/2023,01/01/2024,,,FALSE,,hourly
64ef64a988afda3cddd6f49c,Formateur Bases de Données Avancées Réseau,"Mérignac, France",25/07/2023,31/07/2023,création,,FALSE,,daily
64ef34d188afda3cddd6f3e2,Sécurité des Réseaux,Bordeaux,01/09/2023,03/06/2024,Création,,FALSE,,hourly
64ef0b4488afda3cddd6f3bc,mathématiques BAC+1,Bordeaux,01/09/2023,30/06/2024,remplacement,,FALSE,,hourly
64ef01b388afda3cddd6f372,Interventions sur l'entrepreneuriat,Bordeaux,10/06/2024,14/06/2024,RECONDUCTION,,FALSE,,hourly
64ef010a88afda3cddd6f36e,se lancer dans l'entrepreneuriat : speed thinking,Bordeaux,08/04/2024,14/06/2024,reconduction,,FALSE,,hourly
64eeffb388afda3cddd6f36b,Intervenant sur l'entrepreneuriat,Bordeaux,20/04/2023,20/04/2023,Création de poste,,FALSE,,hourly
